document_id,filename,tahun_terbit,rentang_tahun,layer_1_primary,layer_2_primary,layer_1_all,layer_2_all,jumlah_label,indikator_outlier,content_snippet
33,akn_id_act_uu_1946_19.json,1946,1945 - 1949,Domain Tambahan,Negara Republik,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Negara Republik, Lampiran Pelabuhan, Pajak Pasal, Pegawai Adalah, Uang Peraturan, Adalah Dana, Tambahan Ketentuan, Laporan Huruf, Pemerintah Government, Daerah Papua",15,No,DOKUMEN HUKUM: Undang-Undang Nomor 19 Tahun 1946 tentang Pengeluaran Uang Republik Indonesia  Pasal 1: Dengan tidak mengurangi peraturan yang akan dit...
34,akn_id_act_uu_1946_2.json,1946,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Perhitungan Ketentuan, Barat Lembaran, Negara Republik, Lampiran Pelabuhan, Uang Peraturan, Tambahan Ketentuan, Wilayah Agama, Pajak Pasal, Peraturan Berlaku, Daerah Perkataan",14,No,DOKUMEN HUKUM: Undang-Undang Nomor 2 Tahun 1946 tentang Hal Peraturan Tentang Batas Waktu Pajak Kohir Dinyatakan Tidak Berlaku Lagi  Pasal 1: Peratura...
35,akn_id_act_uu_1946_20.json,1946,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Perhitungan Ketentuan, Negara Republik, Pajak Pasal, Pegawai Adalah, Uang Peraturan, Pengadilan Surat, Wilayah Agama, Peraturan Berlaku, Paling Adalah, Daerah Perkataan",15,No,DOKUMEN HUKUM: Undang-Undang Nomor 20 Tahun 1946 tentang Hukuman Tutupan  Pasal 1: Selain dari pada hukuman pokok tersebut dalam pasal 10 huruf a Kita...
36,akn_id_act_uu_1946_21.json,1946,1945 - 1949,Domain Barat,Negara Republik,"Domain Barat, Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Negara Republik, Pegawai Adalah, Pengadilan Surat, Laporan Huruf, Paling Adalah, Adalah Dana, Tambahan Ketentuan, Peraturan Berlaku, Daerah Papua, Hak Ciptaan, Lampiran Pelabuhan, Desa Kota, Wilayah Agama, Daerah Perkataan, Perhitungan Ketentuan, Uang Peraturan, Pajak Pasal",22,No,DOKUMEN HUKUM: Undang-Undang Nomor 21 Tahun 1946 tentang Cukai Tembakau  Pasal 1: Dengan berlakunya Undang-undang ini Osamu Seirei No. 3 tahun 1943 da...
37,akn_id_act_uu_1946_22.json,1946,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Perhitungan Ketentuan, Negara Republik, Pajak Pasal, Pegawai Adalah, Uang Peraturan, Tambahan Ketentuan, Pengadilan Surat, Wilayah Agama, Peraturan Berlaku, Pemerintah Government, Daerah Perkataan, Hak Ciptaan",17,No,"DOKUMEN HUKUM: Undang-Undang Nomor 22 Tahun 1946 tentang Pencatatan Nikah, Talak dan Rujuk  Pasal 4: Hal-hal yang boleh dihukum pada pasal 3 dipandang..."
38,akn_id_act_uu_1946_23.json,1946,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Perhitungan Ketentuan, Negara Republik, Lampiran Pelabuhan, Pajak Pasal, Uang Peraturan, Tambahan Ketentuan, Wilayah Agama, Peraturan Berlaku, Pemerintah Government, Daerah Perkataan",15,No,DOKUMEN HUKUM: Undang-Undang Nomor 23 Tahun 1946 tentang Pengesahan Peraturan Pemerintah Pengganti Undang Undang No. 9 Tahun 1946  Pasal 1: Peraturan ...
39,akn_id_act_uu_1946_24.json,1946,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Perhitungan Ketentuan, Negara Republik, Lampiran Pelabuhan, Pajak Pasal, Pegawai Adalah, Uang Peraturan, Tambahan Ketentuan, Wilayah Agama, Peraturan Berlaku, Pemerintah Government, Daerah Perkataan",16,No,DOKUMEN HUKUM: Undang-Undang Nomor 24 Tahun 1946 tentang Pengesahan Peraturan Pemerintah Pengganti Undang Undang Tahun 1946 No. 10  Pasal 1: Peraturan...
40,akn_id_act_uu_1946_3.json,1946,1945 - 1949,Domain Hak,Barat Lembaran,"Domain Hak, Domain Negara, Domain Barat","Barat Lembaran, Negara Republik, Uang Peraturan, Pegawai Adalah, Pengadilan Surat, Paling Adalah, Daerah Papua",10,No,DOKUMEN HUKUM: Undang-Undang Nomor 3 Tahun 1946 tentang Peraturan Tentang Warga Negara dan Penduduk Negara  Pasal 1: Warga Negara Indonesia ialah : a....
41,akn_id_act_uu_1946_4.json,1946,1945 - 1949,Domain Tambahan,Negara Republik,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Negara Republik, Lampiran Pelabuhan, Uang Peraturan, Pegawai Adalah, Adalah Dana, Tambahan Ketentuan, Laporan Huruf, Pemerintah Government, Daerah Papua",14,No,DOKUMEN HUKUM: Undang-Undang Nomor 4 Tahun 1946 tentang Pinjaman Dalam-negeri Atas Tanggungan Negara untuk Usaha Pembangunan Negara  Pasal 2: Rupiah d...
42,akn_id_act_uu_1946_5.json,1946,1945 - 1949,Domain Barat,Negara Republik,"Domain Barat, Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Negara Republik, Pegawai Adalah, Pengadilan Surat, Laporan Huruf, Paling Adalah, Barat Lembaran, Adalah Dana, Tambahan Ketentuan, Peraturan Berlaku, Lampiran Pelabuhan, Wilayah Agama, Daerah Perkataan, Perhitungan Ketentuan, Uang Peraturan, Pajak Pasal",20,No,DOKUMEN HUKUM: Undang-Undang Nomor 5 Tahun 1946 tentang Peraturan Tentang Penetapan Tarip Pajak Pendapatan Tahun 1946/1947 dan Tambahan Pajak  Pasal 2...
43,akn_id_act_uu_1946_6.json,1946,1945 - 1949,Domain Hak,Pegawai Adalah,"Domain Hak, Domain Barat","Pegawai Adalah, Desa Kota, Pengadilan Surat, Daerah Papua, Daerah Perkataan, Hak Ciptaan",8,No,DOKUMEN HUKUM: Undang-Undang Nomor 6 Tahun 1946 tentang Keadaan Bahaya  Pasal 6: Selama perhubungan terputus Dewan Pertahanan Daerah termaksud dalam p...
44,akn_id_act_uu_1946_7.json,1946,1945 - 1949,Domain Hak,Pegawai Adalah,"Domain Hak, Domain Negara, Domain Barat","Pegawai Adalah, Desa Kota, Pengadilan Surat, Wilayah Agama, Paling Adalah, Daerah Perkataan, Hak Ciptaan",10,No,DOKUMEN HUKUM: Undang-Undang Nomor 7 Tahun 1946 tentang Pengadilan Tentara  Pasal 1: Pengadilan Tentara terdiri atas : a. Mahkamah - Tentara Agung; b....
45,akn_id_act_uu_1946_8.json,1946,1945 - 1949,Domain Pajak,Paling Adalah,"Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Paling Adalah, Pegawai Adalah, Desa Kota, Pengadilan Surat, Wilayah Agama, Peraturan Berlaku, Pemerintah Government, Daerah Papua, Daerah Perkataan, Hak Ciptaan",14,No,"DOKUMEN HUKUM: Undang-Undang Nomor 8 Tahun 1946 tentang Peraturan Hukum Acara Pidana Guna Pengadilan Tentara  Pasal 1: Guna pengadilan tentara, yang d..."
46,akn_id_act_uu_1946_9.json,1946,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Perhitungan Ketentuan, Negara Republik, Uang Peraturan, Pajak Pasal, Peraturan Berlaku, Daerah Perkataan",10,No,"DOKUMEN HUKUM: Undang-Undang Nomor 9 Tahun 1946 tentang PINJAMAN NASIONAL  Pasal 1: Perkataan ""bunga"" dalam Undang-undang tentang Pinjaman Nasional 19..."
47,akn_id_act_uu_1947_1.json,1947,1945 - 1949,Domain Barat,Negara Republik,"Domain Barat, Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Negara Republik, Pegawai Adalah, Pengadilan Surat, Paling Adalah, Barat Lembaran, Tambahan Ketentuan, Peraturan Berlaku, Pemerintah Government, Hak Ciptaan, Lampiran Pelabuhan, Wilayah Agama, Daerah Perkataan, Perhitungan Ketentuan, Uang Peraturan, Pajak Pasal",20,No,"DOKUMEN HUKUM: Undang-Undang Nomor 1 Tahun 1947 tentang Dewan Pertahanan Negara, Peraturan. Memperpanjang Waktu Berlakunya Peraturan Dewan Pertahanan ..."
48,akn_id_act_uu_1947_10.json,1947,1945 - 1949,Domain Barat,Negara Republik,"Domain Barat, Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Negara Republik, Pegawai Adalah, Pengadilan Surat, Paling Adalah, Barat Lembaran, Tambahan Ketentuan, Peraturan Berlaku, Pemerintah Government, Hak Ciptaan, Lampiran Pelabuhan, Wilayah Agama, Daerah Perkataan, Perhitungan Ketentuan, Uang Peraturan, Pajak Pasal",20,No,DOKUMEN HUKUM: Undang-Undang Nomor 10 Tahun 1947 tentang Pencabutan Pasal 31 ke Ii No.8 dari Aturan Bea Meterai 1921 (stbl. 1921 No. 498)  Pasal 1: Pa...
49,akn_id_act_uu_1947_11.json,1947,1945 - 1949,Domain Barat,Negara Republik,"Domain Barat, Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Negara Republik, Pegawai Adalah, Pengadilan Surat, Laporan Huruf, Paling Adalah, Barat Lembaran, Adalah Dana, Tambahan Ketentuan, Peraturan Berlaku, Hak Ciptaan, Lampiran Pelabuhan, Wilayah Agama, Daerah Perkataan, Perhitungan Ketentuan, Uang Peraturan, Pajak Pasal",21,No,"DOKUMEN HUKUM: Undang-Undang Nomor 11 Tahun 1947 tentang Mengubah Ordonansi Pajak Potong  1936, Stbl. 1936, No. 671  Pasal 1: Ordonansi pajak potong 1..."
50,akn_id_act_uu_1947_12.json,1947,1945 - 1949,Belum Diklasifikasi,Hak Ciptaan,,Hak Ciptaan,1,Yes,"DOKUMEN HUKUM: Undang-Undang Nomor 12 Tahun 1947 tentang Menetapkan ""pajak Radio"" Atas Semua Pesawat Penerimaan Radio  Pasal 1: Dari semua pesawat pen..."
51,akn_id_act_uu_1947_13.json,1947,1945 - 1949,Domain Barat,Negara Republik,"Domain Barat, Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Negara Republik, Pegawai Adalah, Pengadilan Surat, Laporan Huruf, Paling Adalah, Barat Lembaran, Adalah Dana, Tambahan Ketentuan, Peraturan Berlaku, Lampiran Pelabuhan, Wilayah Agama, Daerah Perkataan, Perhitungan Ketentuan, Uang Peraturan, Pajak Pasal",20,No,"DOKUMEN HUKUM: Undang-Undang Nomor 13 Tahun 1947 tentang Penetapan Tarip Pajak Pendapatan, Pajak Upah dan Tambahan Pokok Pajak Tahun Pajak 1947/1948  ..."
52,akn_id_act_uu_1947_14.json,1947,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Perhitungan Ketentuan, Negara Republik, Lampiran Pelabuhan, Pajak Pasal, Uang Peraturan, Adalah Dana, Tambahan Ketentuan, Pengadilan Surat, Peraturan Berlaku, Daerah Perkataan, Hak Ciptaan",16,No,DOKUMEN HUKUM: Undang-Undang Nomor 14 Tahun 1947 tentang Pemungutan Pajak Pembangunan di Rumah Makan dan Rumah Penginapan  Pasal 1: Jika di dalam Unda...
53,akn_id_act_uu_1947_15.json,1947,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Perhitungan Ketentuan, Barat Lembaran, Negara Republik, Lampiran Pelabuhan, Pajak Pasal, Pegawai Adalah, Uang Peraturan, Tambahan Ketentuan, Wilayah Agama, Peraturan Berlaku, Pemerintah Government, Paling Adalah, Daerah Perkataan",18,No,DOKUMEN HUKUM: Undang-Undang Nomor 15 Tahun 1947 tentang Memperpanjang Waktu Berlakunya Peraturan Dewan Pertahanan Negara  Pasal 1: Peraturan-peratura...
54,akn_id_act_uu_1947_16.json,1947,1945 - 1949,Domain Hak,Barat Lembaran,"Domain Hak, Domain Negara, Domain Barat","Barat Lembaran, Paling Adalah, Uang Peraturan, Pegawai Adalah, Desa Kota, Pengadilan Surat, Tingkat Kecamatan, Wilayah Agama, Daerah Papua, Daerah Perkataan, Hak Ciptaan",14,No,DOKUMEN HUKUM: Undang-Undang Nomor 16 Tahun 1947 tentang Pembentukan Haminte-kota Surakarta  Pasal 2: Pemerintah Haminte-Kota terdiri dari : 1. Dewan ...
55,akn_id_act_uu_1947_17.json,1947,1945 - 1949,Domain Hak,Barat Lembaran,"Domain Hak, Domain Negara, Domain Barat","Barat Lembaran, Pegawai Adalah, Desa Kota, Pengadilan Surat, Tingkat Kecamatan, Daerah Papua, Daerah Perkataan, Hak Ciptaan",11,No,DOKUMEN HUKUM: Undang-Undang Nomor 17 Tahun 1947 tentang Pembentukan Haminte-kota Yogyakarta  Pasal 2: Pemerintahan Haminte-Kota terdiri dari : 1. Dew...
56,akn_id_act_uu_1947_18.json,1947,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Perhitungan Ketentuan, Negara Republik, Lampiran Pelabuhan, Uang Peraturan, Tambahan Ketentuan, Pajak Pasal, Peraturan Berlaku, Daerah Perkataan",12,No,DOKUMEN HUKUM: Undang-Undang Nomor 18 Tahun 1947 tentang Peraturan Istimewa Pajak Pendapatan Terhadap Upah  Pasal 2: Undang-undang ini mulai berlaku p...
57,akn_id_act_uu_1947_19.json,1947,1945 - 1949,Domain Barat,Negara Republik,"Domain Barat, Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Negara Republik, Pegawai Adalah, Pengadilan Surat, Laporan Huruf, Paling Adalah, Barat Lembaran, Adalah Dana, Tambahan Ketentuan, Tingkat Kecamatan, Peraturan Berlaku, Pemerintah Government, Daerah Papua, Hak Ciptaan, Lampiran Pelabuhan, Desa Kota, Wilayah Agama, Daerah Perkataan, Perhitungan Ketentuan, Uang Peraturan, Pajak Pasal",25,No,DOKUMEN HUKUM: Undang-Undang Nomor 19 Tahun 1947 tentang Pembawaan Uang dan larangan tentang Uang yang Tidak Berlaku Lagi  Pasal 1: Undang-undang No.1...
58,akn_id_act_uu_1947_2.json,1947,1945 - 1949,Domain Pajak,Peraturan Berlaku,"Domain Pajak, Domain Negara","Peraturan Berlaku, Pajak Pasal",4,No,"DOKUMEN HUKUM: Undang-Undang Nomor 2 Tahun 1947 tentang Dewan Pertahanan Negara, Peraturan. Pengesyahan Peraturan Dewan Pertahanan Negara No. 6, 10, 1..."
59,akn_id_act_uu_1947_20.json,1947,1945 - 1949,Domain Pajak,Paling Adalah,"Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Paling Adalah, Uang Peraturan, Pegawai Adalah, Desa Kota, Pengadilan Surat, Wilayah Agama, Peraturan Berlaku, Daerah Papua, Daerah Perkataan, Hak Ciptaan",14,No,DOKUMEN HUKUM: Undang-Undang Nomor 20 Tahun 1947 tentang Peradilan Ulangan di Jawa dan Madura  Pasal 1: Dari segala pengadilan district dan pengadilan...
60,akn_id_act_uu_1947_21.json,1947,1945 - 1949,Domain Pajak,Pegawai Adalah,"Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Pegawai Adalah, Pengadilan Surat, Peraturan Berlaku, Daerah Perkataan, Hak Ciptaan",9,No,DOKUMEN HUKUM: Undang-Undang Nomor 21 Tahun 1947 tentang Pemeriksaan Perkara Pidana Diluar Hadir Terdakwa Pada Pengadilan Negeri  Pasal 3: Apabila Hak...
61,akn_id_act_uu_1947_22.json,1947,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Perhitungan Ketentuan, Negara Republik, Lampiran Pelabuhan, Wilayah Agama, Pajak Pasal, Peraturan Berlaku, Daerah Perkataan",11,No,DOKUMEN HUKUM: Undang-Undang Nomor 22 Tahun 1947 tentang Pemindahan Tempat Kedudukan Pengadilan dan Kejaksaan  Pasal 2: Undang-undang ini mulai berlak...
62,akn_id_act_uu_1947_23.json,1947,1945 - 1949,Domain Barat,Negara Republik,"Domain Barat, Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Negara Republik, Pegawai Adalah, Pengadilan Surat, Paling Adalah, Barat Lembaran, Tambahan Ketentuan, Peraturan Berlaku, Pemerintah Government, Hak Ciptaan, Lampiran Pelabuhan, Wilayah Agama, Daerah Perkataan, Perhitungan Ketentuan, Uang Peraturan, Pajak Pasal",20,No,DOKUMEN HUKUM: Undang-Undang Nomor 23 Tahun 1947 tentang Penghapusan Pengadilan-raja (zelfbest Uursrecht Spraak) di Jawa dan Sumatera  Pasal 2: Pindah...
63,akn_id_act_uu_1947_24.json,1947,1945 - 1949,Domain Tambahan,Negara Republik,"Domain Tambahan, Domain Barat, Domain Negara","Negara Republik, Lampiran Pelabuhan, Uang Peraturan, Pegawai Adalah, Peraturan Berlaku, Pemerintah Government, Daerah Papua",10,No,"DOKUMEN HUKUM: Undang-Undang Nomor 24 Tahun 1947 tentang Naturalisasi Wilhelm Karl Gottfried Mewes  Pasal 1: Permohonan Wilhelm Karl Gottfried Mewes, ..."
64,akn_id_act_uu_1947_25.json,1947,1945 - 1949,Domain Tambahan,Negara Republik,"Domain Tambahan, Domain Negara, Domain Barat","Negara Republik, Lampiran Pelabuhan, Uang Peraturan, Pegawai Adalah, Pemerintah Government",8,No,DOKUMEN HUKUM: Undang-Undang Nomor 25 Tahun 1947 tentang Naturalisasi George Wilhelm August Friedrichs  Pasal 1: Permohonan George Wilhelm August Frie...
65,akn_id_act_uu_1947_26.json,1947,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Negara","Perhitungan Ketentuan, Negara Republik, Lampiran Pelabuhan, Pajak Pasal, Peraturan Berlaku, Daerah Perkataan",9,No,DOKUMEN HUKUM: Undang-Undang Nomor 26 Tahun 1947 tentang Naturalisasi Herman Oscar Gustav Fischer  Pasal 2: Undang-undang ini mulai berlaku pada hari ...
66,akn_id_act_uu_1947_27.json,1947,1945 - 1949,Domain Tambahan,Barat Lembaran,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Barat Lembaran, Negara Republik, Lampiran Pelabuhan, Uang Peraturan, Pegawai Adalah, Tambahan Ketentuan, Wilayah Agama, Peraturan Berlaku, Pemerintah Government, Daerah Perkataan, Daerah Papua",16,No,"DOKUMEN HUKUM: Undang-Undang Nomor 27 Tahun 1947 tentang Naturalisasi Curt Ulrich Gross  Pasal 1: Permohonan Curt Ulrich Gross, lahir pada tanggal 3 A..."
67,akn_id_act_uu_1947_28.json,1947,1945 - 1949,Domain Pajak,Paling Adalah,"Domain Pajak, Domain Hak, Domain Barat, Domain Negara","Paling Adalah, Pegawai Adalah, Uang Peraturan, Desa Kota, Pengadilan Surat, Pajak Pasal, Peraturan Berlaku, Daerah Papua, Daerah Perkataan, Hak Ciptaan",14,No,"DOKUMEN HUKUM: Undang-Undang Nomor 28 Tahun 1947 tentang Cukai Tembakau Ii  Pasal 1: Yang dimaksud dalam undang-undang ini dengan: a. ""tembakau"" terma..."
68,akn_id_act_uu_1947_29.json,1947,1945 - 1949,Domain Hak,Pegawai Adalah,"Domain Hak, Domain Barat","Pegawai Adalah, Pengadilan Surat, Paling Adalah, Daerah Perkataan, Hak Ciptaan",7,No,DOKUMEN HUKUM: Undang-Undang Nomor 29 Tahun 1947 tentang Cukai Minuman Keras  Pasal 1: Jikalau dalam peraturan tentang cukai minuman keras ditulis per...
69,akn_id_act_uu_1947_3.json,1947,1945 - 1949,Domain Barat,Negara Republik,"Domain Barat, Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Negara Republik, Pegawai Adalah, Pengadilan Surat, Barat Lembaran, Tambahan Ketentuan, Peraturan Berlaku, Pemerintah Government, Daerah Papua, Lampiran Pelabuhan, Wilayah Agama, Daerah Perkataan, Perhitungan Ketentuan, Uang Peraturan, Pajak Pasal",19,No,"DOKUMEN HUKUM: Undang-Undang Nomor 3 Tahun 1947 tentang Pengesyahan Peraturan Pemerintah No. 1 Tahun 1947  Pasal 1: Peraturan Pemerintah No. 1, tahun ..."
70,akn_id_act_uu_1947_30.json,1947,1945 - 1949,Domain Tambahan,Perhitungan Ketentuan,"Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara, Domain Barat","Perhitungan Ketentuan, Barat Lembaran, Negara Republik, Lampiran Pelabuhan, Pajak Pasal, Pegawai Adalah, Uang Peraturan, Tambahan Ketentuan, Wilayah Agama, Peraturan Berlaku, Pemerintah Government, Daerah Perkataan, Daerah Papua",18,No,"DOKUMEN HUKUM: Undang-Undang Nomor 30 Tahun 1947 tentang Mengesahkan Peraturan Pemerintah No. 20, Tahun 1947 Menjadi Undang-undang  Pasal 1: Peraturan..."
71,akn_id_act_uu_1947_31.json,1947,1945 - 1949,Domain Barat,Negara Republik,"Domain Barat, Domain Tambahan, Domain Pajak, Domain Hak, Domain Negara","Negara Republik, Pegawai Adalah, Pengadilan Surat, Paling Adalah, Barat Lembaran, Tambahan Ketentuan, Peraturan Berlaku, Pemerintah Government, Hak Ciptaan, Lampiran Pelabuhan, Wilayah Agama, Daerah Perkataan, Perhitungan Ketentuan, Uang Peraturan, Pajak Pasal",20,No,"DOKUMEN HUKUM: Undang-Undang Nomor 31 Tahun 1947 tentang Memperpanjang Waktu Berlakunya Peraturan-peraturan Dewan Pertahanan Negara No. 5, 7 Jo 31, 8,..."
72,akn_id_act_uu_1947_32.json,1947,1945 - 1949,Domain Hak,Desa Kota,"Domain Hak, Domain Barat","Desa Kota, Tingkat Kecamatan, Daerah Papua",5,No,DOKUMEN HUKUM: Undang-Undang Nomor 32 Tahun 1947 tentang Memusatkan Segala Urusan Sekolah-sekolah Lanjutan Negeri Pada Kementerian Pengajaran Pendidik...
